Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,NeuerFall,date
Rheinland-Pfalz,SK Worms,A15-A34,M,2,0,1584403200000,0,2020-03-17
Rheinland-Pfalz,SK Worms,A15-A34,M,1,0,1584662400000,0,2020-03-20
Rheinland-Pfalz,SK Worms,A15-A34,M,2,0,1584748800000,0,2020-03-21
Rheinland-Pfalz,SK Worms,A15-A34,M,1,0,1585008000000,0,2020-03-24
Rheinland-Pfalz,SK Worms,A15-A34,M,1,0,1585094400000,1,2020-03-25
Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1584144000000,0,2020-03-14
Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1584403200000,0,2020-03-17
Rheinland-Pfalz,SK Worms,A15-A34,W,2,0,1584576000000,0,2020-03-19
Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1584835200000,0,2020-03-22
Rheinland-Pfalz,SK Worms,A15-A34,W,2,0,1584921600000,0,2020-03-23
Rheinland-Pfalz,SK Worms,A15-A34,W,2,0,1585008000000,0,2020-03-24
Rheinland-Pfalz,SK Worms,A15-A34,W,1,0,1585094400000,1,2020-03-25
Rheinland-Pfalz,SK Worms,A35-A59,M,8,0,1584403200000,0,2020-03-17
Rheinland-Pfalz,SK Worms,A35-A59,M,4,0,1584489600000,0,2020-03-18
Rheinland-Pfalz,SK Worms,A35-A59,M,4,0,1584576000000,0,2020-03-19
Rheinland-Pfalz,SK Worms,A35-A59,M,3,0,1584662400000,0,2020-03-20
Rheinland-Pfalz,SK Worms,A35-A59,M,1,0,1584748800000,0,2020-03-21
Rheinland-Pfalz,SK Worms,A35-A59,M,1,0,1584835200000,0,2020-03-22
Rheinland-Pfalz,SK Worms,A35-A59,M,2,0,1584921600000,0,2020-03-23
Rheinland-Pfalz,SK Worms,A35-A59,M,1,0,1585008000000,0,2020-03-24
Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1584403200000,0,2020-03-17
Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1584576000000,0,2020-03-19
Rheinland-Pfalz,SK Worms,A35-A59,W,3,0,1584662400000,0,2020-03-20
Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1584748800000,0,2020-03-21
Rheinland-Pfalz,SK Worms,A35-A59,W,2,0,1584835200000,0,2020-03-22
Rheinland-Pfalz,SK Worms,A35-A59,W,2,0,1584921600000,0,2020-03-23
Rheinland-Pfalz,SK Worms,A35-A59,W,1,0,1585094400000,0,2020-03-25
